_id,Index_,ReportedYear,Category,Subtype,AssaultSubtype,Sex,AgeGroup,AgeCohort,Count_,ObjectId,geometry
137,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,65+,1,136,null
138,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Unknown,Unknown,7,137,null
139,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18-24,34,138,null
140,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25-34,84,139,null
141,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,35-44,31,140,null
142,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,45-54,19,141,null
143,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,55-64,3,142,null
144,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,65+,3,143,null
145,NA,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Unknown,Unknown,86,144,null
146,NA,2015,Crimes Against the Person,Assault,Other,F,Adult,18-24,1458,145,null
147,NA,2015,Crimes Against the Person,Assault,Other,F,Adult,25-34,2046,146,null
148,NA,2015,Crimes Against the Person,Assault,Other,F,Adult,35-44,1268,147,null
149,NA,2015,Crimes Against the Person,Assault,Other,F,Adult,45-54,973,148,null
150,NA,2015,Crimes Against the Person,Assault,Other,F,Adult,55-64,438,149,null
151,NA,2015,Crimes Against the Person,Assault,Other,F,Adult,65+,305,150,null
152,NA,2014,Crimes Against the Person,Assault,Other,M,Youth,12-17,558,151,null
153,NA,2014,Crimes Against the Person,Other,N/A,F,Adult,18-24,478,152,null
154,NA,2014,Crimes Against the Person,Other,N/A,F,Adult,25-34,695,153,null
155,NA,2014,Crimes Against the Person,Other,N/A,F,Adult,35-44,499,154,null
156,NA,2014,Crimes Against the Person,Other,N/A,F,Adult,45-54,399,155,null
157,NA,2014,Crimes Against the Person,Other,N/A,F,Adult,55-64,194,156,null
158,NA,2014,Crimes Against the Person,Other,N/A,F,Adult,65+,84,157,null
159,NA,2014,Crimes Against the Person,Other,N/A,F,Child,<12,69,158,null
160,NA,2014,Crimes Against the Person,Other,N/A,F,Unknown,Unknown,83,159,null
161,NA,2014,Crimes Against the Person,Other,N/A,F,Youth,12-17,216,160,null
162,NA,2014,Crimes Against the Person,Other,N/A,M,Adult,18-24,230,161,null
163,NA,2014,Crimes Against the Person,Other,N/A,M,Adult,25-34,422,162,null
164,NA,2014,Crimes Against the Person,Other,N/A,M,Adult,35-44,381,163,null
165,NA,2014,Crimes Against the Person,Other,N/A,M,Adult,45-54,364,164,null
166,NA,2014,Crimes Against the Person,Other,N/A,M,Adult,55-64,203,165,null
167,NA,2014,Crimes Against the Person,Other,N/A,M,Adult,65+,95,166,null
168,NA,2014,Crimes Against the Person,Other,N/A,M,Child,<12,78,167,null
169,NA,2014,Crimes Against the Person,Other,N/A,M,Unknown,Unknown,119,168,null
170,NA,2014,Crimes Against the Person,Other,N/A,M,Youth,12-17,166,169,null
171,NA,2014,Crimes Against the Person,Other,N/A,U,Unknown,Unknown,3,170,null
172,NA,2014,Crimes Against the Person,Robbery,N/A,F,Adult,18-24,244,171,null
173,NA,2014,Crimes Against the Person,Robbery,N/A,F,Adult,25-34,198,172,null
174,NA,2014,Crimes Against the Person,Robbery,N/A,F,Adult,35-44,120,173,null
175,NA,2014,Crimes Against the Person,Robbery,N/A,F,Adult,45-54,138,174,null
176,NA,2014,Crimes Against the Person,Robbery,N/A,F,Adult,55-64,70,175,null
177,NA,2014,Crimes Against the Person,Robbery,N/A,F,Adult,65+,61,176,null
178,NA,2014,Crimes Against the Person,Robbery,N/A,F,Child,<12,6,177,null
179,NA,2014,Crimes Against the Person,Robbery,N/A,F,Unknown,Unknown,16,178,null
180,NA,2014,Crimes Against the Person,Robbery,N/A,F,Youth,12-17,70,179,null
181,NA,2014,Crimes Against the Person,Robbery,N/A,M,Adult,18-24,674,180,null
182,NA,2014,Crimes Against the Person,Robbery,N/A,M,Adult,25-34,422,181,null
183,NA,2014,Crimes Against the Person,Robbery,N/A,M,Adult,35-44,223,182,null
